year,department,applications,admits,admit_rate,new_enrolled,yield_rate,avg_test_score,total_enrollment,retention_rate,grad_rate,avg_gpa,pass_rate,avg_class_size,faculty_count,student_faculty_ratio,tuition_revenue,operating_budget
2020,Nursing,1889,977,0.518,296,0.304,1115,1159,0.846,0.767,2.95,0.933,31.1,56,20.7,53287784,50032359
2021,Nursing,1560,840,0.539,383,0.457,1207,1684,0.796,0.659,3.18,0.894,39.1,99,17.0,49187956,44790243
2022,Nursing,1807,868,0.48,373,0.431,1214,1445,0.844,0.662,3.15,0.874,25.9,90,16.1,48922164,54925864
2023,Nursing,1724,594,0.345,277,0.467,1249,1142,0.824,0.688,3.3,0.924,42.3,56,20.4,48088288,47199418
2024,Nursing,1929,1254,0.65,487,0.389,1187,2070,0.835,0.75,3.06,0.942,37.0,95,21.8,77064396,75514765
2025,Nursing,2017,746,0.37,276,0.37,1202,1002,0.744,0.713,2.99,0.902,34.7,67,15.0,34990920,30377665
2015,Law,921,439,0.477,199,0.454,1205,779,0.892,0.779,3.28,0.869,27.9,43,18.1,26482646,25937053
2016,Law,996,466,0.468,193,0.414,1273,744,0.746,0.675,2.98,0.968,29.7,51,14.6,27002626,28716412
2017,Law,1054,625,0.594,255,0.409,1290,1105,0.868,0.834,3.3,0.845,14.5,59,18.7,42678986,47153049
2018,Law,1083,676,0.624,356,0.528,1363,1327,0.841,0.717,3.15,0.898,21.9,60,22.1,45791650,50093674
2019,Law,1175,706,0.601,315,0.447,1225,1188,0.892,0.832,3.26,0.924,17.3,77,15.4,48771320,51815985
2020,Law,1190,783,0.659,340,0.435,1128,1385,0.861,0.794,2.95,0.926,28.4,98,14.1,39193334,44991022
2021,Law,1146,631,0.551,274,0.435,1255,1179,0.85,0.704,3.12,0.88,20.5,61,19.3,50758795,43421517
2022,Law,1268,804,0.635,387,0.482,1296,1471,0.818,0.704,3.21,0.925,35.7,73,20.2,67226917,65598796
2023,Law,1220,651,0.534,250,0.385,1239,1004,0.835,0.736,3.21,0.894,29.5,46,21.8,31336799,28512181
2024,Law,1111,422,0.381,130,0.308,1329,559,0.862,0.772,3.37,0.803,30.4,37,15.1,24747779,27461911
2025,Law,1160,607,0.524,306,0.506,1229,1283,0.843,0.913,3.16,0.98,27.4,77,16.7,49982267,51196676
