course_id,year,term,department,major,course_code,course_title,level,instructor,enrolled,capacity,fill_rate,credits,avg_grade,pass_rate
10049,2016,Spring,Engineering,Civil,CE-101,Introduction to Civil,100,Dr. Katz,28,33,0.848,3,3.22,0.987
10050,2016,Spring,Engineering,Civil,CE-257,Civil Methods,200,Prof. Rosen,23,34,0.676,3,3.17,0.942
10051,2017,Fall,Engineering,Computer Science,CS-557,Graduate Computer Science,500,Dr. Bram,30,36,0.833,4,2.98,0.989
10052,2017,Fall,Engineering,Computer Science,CS-214,Computer Science Methods,200,Dr. Levin,25,43,0.581,3,3.44,1.0
10053,2017,Fall,Engineering,Computer Science,CS-411,Computer Science Capstone,400,Dr. Cohen,16,37,0.432,3,3.16,0.891
10054,2017,Fall,Engineering,Computer Science,CS-230,Applied Computer Science,200,Dr. Shapiro,34,42,0.81,3,2.89,0.933
10055,2017,Fall,Engineering,Mechanical,ME-207,Mechanical Methods,200,Dr. Friedman,30,41,0.732,3,3.1,0.961
10056,2017,Fall,Engineering,Mechanical,ME-533,Graduate Mechanical,500,Prof. Mandel,32,40,0.8,4,3.61,0.874
10057,2017,Fall,Engineering,Mechanical,ME-243,Mechanical Methods,200,Dr. Weiss,18,25,0.72,3,3.31,0.915
10058,2017,Fall,Engineering,Mechanical,ME-128,Introduction to Mechanical,100,Dr. Cohen,30,37,0.811,4,3.01,0.928
10059,2017,Fall,Engineering,Electrical,EE-253,Applied Electrical,200,Dr. Cohen,24,29,0.828,3,3.67,0.975
10060,2017,Fall,Engineering,Electrical,EE-110,Principles of Electrical,100,Dr. Shapiro,33,37,0.892,3,3.18,0.959
10061,2017,Fall,Engineering,Civil,CE-324,Advanced Civil,300,Dr. Weiss,43,57,0.754,3,3.38,0.899
10062,2017,Fall,Engineering,Civil,CE-414,Senior Seminar in Civil,400,Prof. Adler,18,19,0.947,3,3.41,0.874
10063,2017,Fall,Engineering,Civil,CE-258,Applied Civil,200,Dr. Katz,28,47,0.596,3,3.28,0.938
10064,2017,Spring,Engineering,Computer Science,CS-132,Foundations of Computer Science,100,Dr. Cohen,42,55,0.764,3,3.24,0.908
10065,2017,Spring,Engineering,Computer Science,CS-327,Topics in Computer Science,300,Prof. Mandel,27,36,0.75,3,2.67,0.925
10066,2017,Spring,Engineering,Mechanical,ME-112,Foundations of Mechanical,100,Dr. Bram,36,42,0.857,4,2.76,0.94
10067,2017,Spring,Engineering,Mechanical,ME-404,Mechanical Research,400,Dr. Friedman,42,51,0.824,4,3.37,0.959
10068,2017,Spring,Engineering,Mechanical,ME-532,Mechanical Practicum,500,Dr. Shapiro,35,55,0.636,3,3.8,0.91
10069,2017,Spring,Engineering,Mechanical,ME-156,Introduction to Mechanical,100,Dr. Levin,32,48,0.667,3,2.9,0.852
10070,2017,Spring,Engineering,Electrical,EE-248,Electrical Methods,200,Dr. Shapiro,44,56,0.786,3,2.92,0.978
10071,2017,Spring,Engineering,Electrical,EE-114,Principles of Electrical,100,Prof. Mandel,29,44,0.659,3,2.69,0.917
10072,2017,Spring,Engineering,Civil,CE-134,Introduction to Civil,100,Prof. Mandel,20,22,0.909,3,2.86,0.908
10073,2017,Spring,Engineering,Civil,CE-105,Introduction to Civil,100,Dr. Bram,33,37,0.892,3,3.29,0.936
10074,2017,Spring,Engineering,Civil,CE-344,Civil Theory,300,Prof. Schwartz,44,46,0.957,3,2.9,0.933
10075,2018,Fall,Engineering,Computer Science,CS-212,Computer Science Methods,200,Prof. Rosen,20,25,0.8,3,3.17,1.0
10076,2018,Fall,Engineering,Computer Science,CS-255,Intermediate Computer Science,200,Prof. Adler,17,28,0.607,4,3.36,0.913
10077,2018,Fall,Engineering,Computer Science,CS-226,Intermediate Computer Science,200,Prof. Goldberg,20,25,0.8,3,3.5,0.902
10078,2018,Fall,Engineering,Computer Science,CS-330,Topics in Computer Science,300,Prof. Adler,35,45,0.778,4,3.96,0.848
10079,2018,Fall,Engineering,Mechanical,ME-133,Foundations of Mechanical,100,Prof. Mandel,25,28,0.893,3,3.23,0.903
10080,2018,Fall,Engineering,Mechanical,ME-156,Introduction to Mechanical,100,Dr. Bram,24,35,0.686,3,2.91,0.894
10081,2018,Fall,Engineering,Electrical,EE-225,Electrical Methods,200,Prof. Rosen,28,28,1.0,3,3.27,0.853
10082,2018,Fall,Engineering,Electrical,EE-228,Electrical Methods,200,Prof. Mandel,17,32,0.531,3,3.35,0.962
10083,2018,Fall,Engineering,Electrical,EE-153,Foundations of Electrical,100,Dr. Klein,27,27,1.0,3,2.96,0.887
10084,2018,Fall,Engineering,Electrical,EE-232,Intermediate Electrical,200,Prof. Stern,25,37,0.676,3,3.3,0.865
10085,2018,Fall,Engineering,Civil,CE-214,Intermediate Civil,200,Prof. Schwartz,26,31,0.839,3,2.99,0.922
10086,2018,Fall,Engineering,Civil,CE-340,Topics in Civil,300,Dr. Cohen,10,15,0.667,4,2.8,0.884
10087,2018,Fall,Engineering,Civil,CE-437,Senior Seminar in Civil,400,Dr. Levin,35,36,0.972,3,3.39,0.966
10088,2018,Fall,Engineering,Civil,CE-255,Applied Civil,200,Dr. Shapiro,27,30,0.9,3,3.26,0.91
10089,2018,Spring,Engineering,Computer Science,CS-221,Computer Science Methods,200,Prof. Schwartz,36,42,0.857,3,2.91,0.802
10090,2018,Spring,Engineering,Computer Science,CS-201,Applied Computer Science,200,Dr. Friedman,13,30,0.433,3,3.11,0.918
10091,2018,Spring,Engineering,Computer Science,CS-221,Computer Science Methods,200,Prof. Goldberg,36,38,0.947,4,3.16,0.942
10092,2018,Spring,Engineering,Computer Science,CS-149,Foundations of Computer Science,100,Dr. Katz,10,30,0.333,3,3.12,0.908
10093,2018,Spring,Engineering,Mechanical,ME-327,Mechanical Theory,300,Dr. Weiss,17,37,0.459,3,2.79,0.976
10094,2018,Spring,Engineering,Mechanical,ME-215,Intermediate Mechanical,200,Dr. Halpern,27,36,0.75,3,3.07,0.847
10095,2018,Spring,Engineering,Mechanical,ME-137,Principles of Mechanical,100,Dr. Weiss,27,35,0.771,3,3.0,0.987
10096,2018,Spring,Engineering,Mechanical,ME-443,Mechanical Capstone,400,Dr. Klein,17,45,0.378,3,3.47,0.947
10097,2018,Spring,Engineering,Electrical,EE-231,Applied Electrical,200,Dr. Levin,37,43,0.86,4,3.21,0.925
10098,2018,Spring,Engineering,Electrical,EE-414,Electrical Research,400,Prof. Schwartz,38,38,1.0,4,2.94,0.833
10099,2018,Spring,Engineering,Civil,CE-133,Principles of Civil,100,Prof. Adler,32,35,0.914,3,3.32,0.83
10100,2018,Spring,Engineering,Civil,CE-208,Civil Methods,200,Dr. Friedman,28,39,0.718,4,3.3,0.867
10101,2018,Spring,Engineering,Civil,CE-155,Foundations of Civil,100,Dr. Halpern,36,44,0.818,3,3.13,0.984
10102,2018,Spring,Engineering,Civil,CE-351,Advanced Civil,300,Prof. Mandel,16,29,0.552,3,3.61,0.883
10103,2019,Fall,Engineering,Computer Science,CS-427,Computer Science Capstone,400,Prof. Adler,31,34,0.912,4,3.12,1.0
10104,2019,Fall,Engineering,Computer Science,CS-237,Intermediate Computer Science,200,Dr. Shapiro,30,30,1.0,4,2.78,0.981
10105,2019,Fall,Engineering,Computer Science,CS-114,Principles of Computer Science,100,Prof. Stern,23,23,1.0,4,3.1,0.881
10106,2019,Fall,Engineering,Computer Science,CS-238,Computer Science Methods,200,Dr. Cohen,15,20,0.75,3,3.27,0.883
10107,2019,Fall,Engineering,Mechanical,ME-307,Advanced Mechanical,300,Prof. Rosen,12,12,1.0,3,3.36,0.917
10108,2019,Fall,Engineering,Mechanical,ME-108,Introduction to Mechanical,100,Dr. Cohen,28,30,0.933,3,2.4,0.931
10109,2019,Fall,Engineering,Mechanical,ME-136,Principles of Mechanical,100,Dr. Katz,14,19,0.737,4,2.89,0.889
10110,2019,Fall,Engineering,Mechanical,ME-216,Intermediate Mechanical,200,Dr. Levin,31,34,0.912,3,2.33,0.827
10111,2019,Fall,Engineering,Electrical,EE-107,Principles of Electrical,100,Prof. Rosen,30,33,0.909,3,3.33,0.827
10112,2019,Fall,Engineering,Electrical,EE-129,Foundations of Electrical,100,Prof. Rosen,18,22,0.818,3,3.41,0.887
10113,2019,Fall,Engineering,Electrical,EE-126,Introduction to Electrical,100,Prof. Schwartz,9,10,0.9,3,2.94,0.963
10114,2019,Fall,Engineering,Electrical,EE-111,Foundations of Electrical,100,Prof. Mandel,20,22,0.909,4,3.37,0.946
10115,2019,Fall,Engineering,Civil,CE-259,Civil Methods,200,Dr. Friedman,25,32,0.781,3,3.06,0.925
10116,2019,Fall,Engineering,Civil,CE-338,Topics in Civil,300,Dr. Katz,30,36,0.833,3,3.54,0.93
10117,2019,Fall,Engineering,Civil,CE-413,Civil Research,400,Dr. Halpern,12,12,1.0,3,3.63,0.939
10118,2019,Spring,Engineering,Computer Science,CS-145,Introduction to Computer Science,100,Dr. Klein,16,18,0.889,3,2.81,0.935
10119,2019,Spring,Engineering,Computer Science,CS-242,Computer Science Methods,200,Dr. Friedman,24,29,0.828,4,3.17,0.863
10120,2019,Spring,Engineering,Computer Science,CS-354,Computer Science Theory,300,Dr. Halpern,17,25,0.68,3,3.14,0.916
10121,2019,Spring,Engineering,Mechanical,ME-552,Mechanical Thesis Studio,500,Dr. Klein,18,19,0.947,3,3.38,0.984
10122,2019,Spring,Engineering,Mechanical,ME-226,Applied Mechanical,200,Dr. Levin,11,18,0.611,3,2.82,0.905
10123,2019,Spring,Engineering,Electrical,EE-304,Electrical Theory,300,Prof. Stern,9,10,0.9,3,3.11,0.898
10124,2019,Spring,Engineering,Electrical,EE-551,Graduate Electrical,500,Dr. Halpern,22,36,0.611,3,3.59,0.921
10125,2019,Spring,Engineering,Electrical,EE-417,Electrical Capstone,400,Prof. Stern,14,25,0.56,3,3.19,0.961
10126,2019,Spring,Engineering,Civil,CE-344,Civil Theory,300,Prof. Goldberg,27,29,0.931,3,3.15,0.915
10127,2019,Spring,Engineering,Civil,CE-157,Principles of Civil,100,Dr. Levin,14,18,0.778,3,3.13,0.953
10128,2019,Spring,Engineering,Civil,CE-459,Senior Seminar in Civil,400,Prof. Rosen,16,21,0.762,3,3.33,0.867
10129,2019,Spring,Engineering,Civil,CE-142,Foundations of Civil,100,Dr. Weiss,9,19,0.474,3,2.97,1.0
10130,2020,Fall,Engineering,Computer Science,CS-129,Principles of Computer Science,100,Dr. Shapiro,46,52,0.885,3,2.56,0.919
10131,2020,Fall,Engineering,Computer Science,CS-340,Topics in Computer Science,300,Dr. Katz,23,40,0.575,4,3.37,0.963
10132,2020,Fall,Engineering,Computer Science,CS-108,Principles of Computer Science,100,Prof. Adler,28,32,0.875,3,2.9,0.924
10133,2020,Fall,Engineering,Computer Science,CS-331,Computer Science Theory,300,Dr. Levin,34,41,0.829,3,3.01,0.898
10134,2020,Fall,Engineering,Mechanical,ME-417,Mechanical Capstone,400,Dr. Klein,45,45,1.0,3,3.04,0.887
10135,2020,Fall,Engineering,Mechanical,ME-101,Principles of Mechanical,100,Dr. Friedman,35,35,1.0,3,2.89,0.889
10136,2020,Fall,Engineering,Electrical,EE-504,Graduate Electrical,500,Dr. Bram,31,41,0.756,3,2.63,0.873
10137,2020,Fall,Engineering,Electrical,EE-149,Principles of Electrical,100,Dr. Halpern,36,39,0.923,3,2.88,0.965
10138,2020,Fall,Engineering,Civil,CE-316,Civil Theory,300,Prof. Schwartz,33,44,0.75,3,3.09,0.999
10139,2020,Fall,Engineering,Civil,CE-119,Principles of Civil,100,Dr. Klein,19,32,0.594,3,2.87,0.985
10140,2020,Fall,Engineering,Civil,CE-248,Intermediate Civil,200,Dr. Friedman,25,30,0.833,3,3.22,0.929
10141,2020,Spring,Engineering,Computer Science,CS-441,Computer Science Research,400,Prof. Rosen,16,26,0.615,3,3.52,0.899
10142,2020,Spring,Engineering,Computer Science,CS-140,Introduction to Computer Science,100,Prof. Schwartz,30,37,0.811,3,2.81,0.902
10143,2020,Spring,Engineering,Computer Science,CS-110,Foundations of Computer Science,100,Dr. Shapiro,39,49,0.796,3,2.84,0.984
10144,2020,Spring,Engineering,Computer Science,CS-218,Intermediate Computer Science,200,Dr. Friedman,41,41,1.0,3,2.94,0.974
10145,2020,Spring,Engineering,Mechanical,ME-305,Topics in Mechanical,300,Dr. Levin,37,39,0.949,3,3.41,0.983
10146,2020,Spring,Engineering,Mechanical,ME-121,Foundations of Mechanical,100,Prof. Rosen,20,26,0.769,3,3.31,0.866
10147,2020,Spring,Engineering,Mechanical,ME-335,Mechanical Theory,300,Dr. Bram,33,43,0.767,3,2.84,0.87
10148,2020,Spring,Engineering,Mechanical,ME-458,Mechanical Research,400,Dr. Bram,37,41,0.902,3,3.42,0.928
10149,2020,Spring,Engineering,Electrical,EE-240,Intermediate Electrical,200,Dr. Friedman,36,36,1.0,3,2.62,0.945
10150,2020,Spring,Engineering,Electrical,EE-340,Electrical Theory,300,Prof. Adler,36,38,0.947,3,3.02,1.0
10151,2020,Spring,Engineering,Civil,CE-452,Senior Seminar in Civil,400,Prof. Stern,28,50,0.56,3,3.27,0.884
10152,2020,Spring,Engineering,Civil,CE-148,Introduction to Civil,100,Dr. Bram,21,25,0.84,4,2.93,0.905
10153,2020,Spring,Engineering,Civil,CE-109,Introduction to Civil,100,Dr. Weiss,46,46,1.0,4,2.83,0.932
10154,2021,Fall,Engineering,Computer Science,CS-316,Advanced Computer Science,300,Dr. Weiss,19,25,0.76,3,2.62,0.947
10155,2021,Fall,Engineering,Computer Science,CS-122,Principles of Computer Science,100,Dr. Cohen,16,30,0.533,4,2.78,0.906
10156,2021,Fall,Engineering,Mechanical,ME-228,Applied Mechanical,200,Dr. Friedman,23,34,0.676,3,3.01,0.902
10157,2021,Fall,Engineering,Mechanical,ME-331,Mechanical Theory,300,Dr. Shapiro,39,39,1.0,3,2.9,0.935
10158,2021,Fall,Engineering,Electrical,EE-224,Applied Electrical,200,Dr. Katz,22,26,0.846,3,3.04,0.898
10159,2021,Fall,Engineering,Electrical,EE-332,Topics in Electrical,300,Dr. Bram,17,19,0.895,3,2.91,0.968
10160,2021,Fall,Engineering,Civil,CE-546,Graduate Civil,500,Dr. Klein,26,30,0.867,3,3.0,0.873
10161,2021,Fall,Engineering,Civil,CE-103,Foundations of Civil,100,Dr. Cohen,24,24,1.0,4,3.03,0.889
10162,2021,Fall,Engineering,Civil,CE-202,Civil Methods,200,Dr. Cohen,28,29,0.966,4,3.51,0.818
10163,2021,Spring,Engineering,Computer Science,CS-136,Foundations of Computer Science,100,Prof. Goldberg,9,10,0.9,3,3.31,0.886
10164,2021,Spring,Engineering,Computer Science,CS-107,Foundations of Computer Science,100,Dr. Weiss,34,39,0.872,4,3.1,0.907
10165,2021,Spring,Engineering,Mechanical,ME-213,Applied Mechanical,200,Dr. Cohen,17,19,0.895,3,2.25,0.938
10166,2021,Spring,Engineering,Mechanical,ME-413,Mechanical Capstone,400,Dr. Weiss,25,28,0.893,3,3.22,0.864
10167,2021,Spring,Engineering,Mechanical,ME-202,Applied Mechanical,200,Dr. Cohen,30,32,0.938,3,3.15,0.941
10168,2021,Spring,Engineering,Mechanical,ME-227,Applied Mechanical,200,Prof. Mandel,20,24,0.833,3,2.56,0.904
10169,2021,Spring,Engineering,Electrical,EE-210,Electrical Methods,200,Dr. Klein,25,32,0.781,3,3.0,0.927
10170,2021,Spring,Engineering,Electrical,EE-535,Electrical Thesis Studio,500,Dr. Halpern,23,31,0.742,4,2.89,0.894
10171,2021,Spring,Engineering,Electrical,EE-317,Topics in Electrical,300,Prof. Mandel,18,26,0.692,3,3.64,0.878
10172,2021,Spring,Engineering,Electrical,EE-225,Applied Electrical,200,Dr. Halpern,22,25,0.88,3,2.72,0.998
10173,2021,Spring,Engineering,Civil,CE-332,Topics in Civil,300,Dr. Levin,22,27,0.815,3,2.63,0.925
10174,2021,Spring,Engineering,Civil,CE-124,Introduction to Civil,100,Dr. Katz,25,35,0.714,3,3.07,0.847
10175,2021,Spring,Engineering,Civil,CE-437,Civil Research,400,Dr. Friedman,33,41,0.805,4,2.82,0.998
10176,2022,Fall,Engineering,Computer Science,CS-130,Principles of Computer Science,100,Dr. Friedman,26,32,0.812,4,3.12,0.89
10177,2022,Fall,Engineering,Computer Science,CS-424,Computer Science Research,400,Dr. Bram,21,22,0.955,3,3.62,0.977
10178,2022,Fall,Engineering,Mechanical,ME-332,Mechanical Theory,300,Dr. Shapiro,29,43,0.674,3,3.3,0.857
10179,2022,Fall,Engineering,Mechanical,ME-259,Mechanical Methods,200,Dr. Katz,26,30,0.867,3,3.77,0.915
10180,2022,Fall,Engineering,Electrical,EE-438,Electrical Capstone,400,Dr. Friedman,24,37,0.649,3,2.42,0.941
10181,2022,Fall,Engineering,Electrical,EE-229,Electrical Methods,200,Prof. Goldberg,19,19,1.0,4,3.03,0.909
10182,2022,Fall,Engineering,Electrical,EE-213,Electrical Methods,200,Prof. Adler,24,32,0.75,3,2.76,0.922
10183,2022,Fall,Engineering,Electrical,EE-320,Topics in Electrical,300,Prof. Adler,19,24,0.792,3,3.04,0.977
10184,2022,Fall,Engineering,Civil,CE-413,Civil Research,400,Dr. Shapiro,20,29,0.69,3,2.74,0.946
10185,2022,Fall,Engineering,Civil,CE-252,Applied Civil,200,Dr. Katz,23,24,0.958,3,3.06,0.811
10186,2022,Spring,Engineering,Computer Science,CS-111,Introduction to Computer Science,100,Dr. Friedman,26,28,0.929,3,3.08,0.93
10187,2022,Spring,Engineering,Computer Science,CS-132,Introduction to Computer Science,100,Prof. Mandel,24,29,0.828,3,3.24,0.9
10188,2022,Spring,Engineering,Mechanical,ME-141,Principles of Mechanical,100,Prof. Mandel,33,35,0.943,3,2.95,0.911
10189,2022,Spring,Engineering,Mechanical,ME-525,Graduate Mechanical,500,Dr. Friedman,30,51,0.588,3,3.27,0.939
10190,2022,Spring,Engineering,Mechanical,ME-408,Mechanical Research,400,Prof. Mandel,13,23,0.565,3,3.44,0.953
10191,2022,Spring,Engineering,Electrical,EE-247,Electrical Methods,200,Prof. Mandel,31,34,0.912,3,2.93,0.919
10192,2022,Spring,Engineering,Electrical,EE-154,Foundations of Electrical,100,Dr. Bram,16,18,0.889,3,2.65,0.855
10193,2022,Spring,Engineering,Electrical,EE-316,Advanced Electrical,300,Dr. Friedman,17,21,0.81,3,3.18,0.978
10194,2022,Spring,Engineering,Civil,CE-413,Civil Research,400,Dr. Weiss,28,30,0.933,3,2.89,0.933
10195,2022,Spring,Engineering,Civil,CE-113,Foundations of Civil,100,Dr. Bram,30,36,0.833,3,2.81,0.895
10196,2022,Spring,Engineering,Civil,CE-411,Civil Capstone,400,Dr. Shapiro,14,22,0.636,3,3.56,0.923
10197,2022,Spring,Engineering,Civil,CE-326,Advanced Civil,300,Dr. Klein,21,26,0.808,3,2.9,0.897
10198,2023,Fall,Engineering,Computer Science,CS-309,Advanced Computer Science,300,Dr. Katz,24,34,0.706,4,3.15,0.942
10199,2023,Fall,Engineering,Computer Science,CS-123,Foundations of Computer Science,100,Dr. Weiss,9,10,0.9,3,3.39,0.848
10200,2023,Fall,Engineering,Mechanical,ME-102,Foundations of Mechanical,100,Prof. Stern,28,30,0.933,3,3.07,0.918
10201,2023,Fall,Engineering,Mechanical,ME-415,Senior Seminar in Mechanical,400,Prof. Mandel,22,27,0.815,3,3.18,0.87
10202,2023,Fall,Engineering,Mechanical,ME-450,Mechanical Research,400,Prof. Adler,33,35,0.943,3,3.05,0.896
10203,2023,Fall,Engineering,Electrical,EE-215,Intermediate Electrical,200,Prof. Rosen,16,18,0.889,3,3.46,0.982
10204,2023,Fall,Engineering,Electrical,EE-114,Foundations of Electrical,100,Prof. Rosen,30,30,1.0,3,3.36,0.904
10205,2023,Fall,Engineering,Electrical,EE-356,Electrical Theory,300,Dr. Shapiro,45,45,1.0,4,3.3,0.955
10206,2023,Fall,Engineering,Civil,CE-232,Civil Methods,200,Dr. Cohen,14,16,0.875,4,3.67,0.982
10207,2023,Fall,Engineering,Civil,CE-524,Graduate Civil,500,Prof. Mandel,22,25,0.88,4,3.25,0.946
10208,2023,Spring,Engineering,Computer Science,CS-102,Foundations of Computer Science,100,Prof. Goldberg,35,44,0.795,3,3.39,0.996
10209,2023,Spring,Engineering,Computer Science,CS-545,Computer Science Practicum,500,Dr. Weiss,27,36,0.75,3,3.91,1.0
10210,2023,Spring,Engineering,Computer Science,CS-356,Topics in Computer Science,300,Dr. Bram,27,42,0.643,3,3.58,0.989
10211,2023,Spring,Engineering,Mechanical,ME-148,Principles of Mechanical,100,Dr. Shapiro,26,28,0.929,3,3.18,0.828
10212,2023,Spring,Engineering,Mechanical,ME-404,Senior Seminar in Mechanical,400,Prof. Stern,22,25,0.88,3,3.64,0.905
10213,2023,Spring,Engineering,Mechanical,ME-134,Foundations of Mechanical,100,Dr. Katz,29,41,0.707,3,3.83,0.902
10214,2023,Spring,Engineering,Mechanical,ME-302,Mechanical Theory,300,Dr. Weiss,25,33,0.758,3,3.17,0.878
10215,2023,Spring,Engineering,Electrical,EE-133,Principles of Electrical,100,Prof. Goldberg,41,45,0.911,3,3.08,0.887
10216,2023,Spring,Engineering,Electrical,EE-516,Electrical Thesis Studio,500,Dr. Katz,32,32,1.0,3,3.14,0.942
10217,2023,Spring,Engineering,Electrical,EE-515,Graduate Electrical,500,Dr. Klein,42,42,1.0,3,3.6,0.825
10218,2023,Spring,Engineering,Electrical,EE-149,Introduction to Electrical,100,Prof. Stern,20,26,0.769,3,3.54,0.989
