student_id,year,department,major,class_level,gender,residency,gpa,status
100043,2015,Engineering,Civil,Senior,Male,In-State,3.36,Enrolled
100044,2015,Engineering,Computer Science,Junior,Female,Out-of-State,2.48,Enrolled
100045,2015,Engineering,Mechanical,Graduate,Female,In-State,3.25,On Leave
100046,2015,Engineering,Mechanical,Sophomore,Female,In-State,3.39,On Leave
100047,2015,Engineering,Mechanical,Senior,Male,Out-of-State,3.4,Enrolled
100048,2015,Engineering,Computer Science,Senior,Female,International,3.76,Enrolled
100049,2015,Engineering,Electrical,Freshman,Female,In-State,3.22,Graduated
100050,2015,Engineering,Computer Science,Sophomore,Male,In-State,2.73,Enrolled
100051,2015,Engineering,Computer Science,Freshman,Female,Out-of-State,3.05,Graduated
100052,2015,Engineering,Mechanical,Freshman,Female,Out-of-State,2.77,Enrolled
100053,2015,Engineering,Civil,Junior,Male,In-State,3.2,Enrolled
100054,2015,Engineering,Electrical,Senior,Female,In-State,2.13,Enrolled
100055,2015,Engineering,Computer Science,Senior,Female,International,3.0,Enrolled
100056,2015,Engineering,Computer Science,Sophomore,Male,International,3.29,Enrolled
100057,2015,Engineering,Mechanical,Freshman,Male,In-State,2.07,Enrolled
100058,2015,Engineering,Electrical,Senior,Male,In-State,2.49,Enrolled
100059,2015,Engineering,Electrical,Sophomore,Female,In-State,3.01,Enrolled
100060,2015,Engineering,Mechanical,Sophomore,Female,In-State,3.13,Graduated
100061,2015,Engineering,Electrical,Junior,Female,In-State,2.58,Enrolled
100062,2015,Engineering,Civil,Freshman,Male,In-State,2.55,Graduated
100063,2015,Engineering,Electrical,Freshman,Female,In-State,3.62,Withdrawn
100064,2015,Engineering,Computer Science,Freshman,Female,In-State,2.62,Enrolled
100065,2015,Engineering,Computer Science,Senior,Female,In-State,3.36,Enrolled
100066,2015,Engineering,Mechanical,Junior,Female,International,2.77,Enrolled
100067,2015,Engineering,Mechanical,Freshman,Female,Out-of-State,2.85,Enrolled
100068,2015,Engineering,Civil,Senior,Male,International,2.63,Graduated
100069,2015,Engineering,Civil,Sophomore,Male,In-State,2.76,Enrolled
100070,2015,Engineering,Civil,Sophomore,Female,International,3.42,Enrolled
100071,2015,Engineering,Civil,Junior,Female,In-State,3.21,Enrolled
100072,2015,Engineering,Civil,Junior,Female,In-State,3.45,Enrolled
100073,2015,Engineering,Civil,Graduate,Male,In-State,3.64,Enrolled
100074,2015,Engineering,Civil,Sophomore,Male,In-State,2.47,Enrolled
100075,2015,Engineering,Electrical,Sophomore,Female,In-State,2.89,Enrolled
100076,2015,Engineering,Civil,Junior,Male,In-State,3.62,Enrolled
100077,2015,Engineering,Computer Science,Junior,Male,In-State,2.79,Withdrawn
100078,2015,Engineering,Computer Science,Junior,Female,In-State,3.82,Enrolled
100079,2015,Engineering,Civil,Freshman,Male,Out-of-State,3.9,Enrolled
100080,2015,Engineering,Mechanical,Senior,Female,Out-of-State,2.26,Enrolled
100081,2015,Engineering,Computer Science,Sophomore,Female,Out-of-State,4.0,Enrolled
100082,2015,Engineering,Computer Science,Graduate,Male,In-State,2.21,Enrolled
100083,2015,Engineering,Civil,Sophomore,Female,Out-of-State,2.74,Graduated
100084,2015,Engineering,Electrical,Junior,Female,In-State,3.51,Enrolled
100085,2015,Engineering,Civil,Senior,Male,In-State,3.01,Enrolled
100086,2015,Engineering,Computer Science,Junior,Female,Out-of-State,3.42,Graduated
100087,2015,Engineering,Computer Science,Sophomore,Male,In-State,2.83,Enrolled
100088,2015,Engineering,Civil,Freshman,Female,In-State,3.61,Enrolled
100089,2015,Engineering,Computer Science,Sophomore,Male,International,2.69,Withdrawn
100090,2015,Engineering,Civil,Junior,Female,In-State,3.38,Enrolled
100091,2015,Engineering,Civil,Graduate,Male,In-State,3.37,Enrolled
100092,2015,Engineering,Electrical,Freshman,Male,Out-of-State,2.84,Enrolled
100093,2015,Engineering,Civil,Freshman,Male,International,3.33,Graduated
100094,2015,Engineering,Civil,Freshman,Male,In-State,2.99,Enrolled
100095,2015,Engineering,Mechanical,Graduate,Female,Out-of-State,3.0,Enrolled
100096,2016,Engineering,Computer Science,Senior,Male,In-State,3.57,Graduated
100097,2016,Engineering,Civil,Junior,Male,International,3.3,Enrolled
100098,2016,Engineering,Mechanical,Sophomore,Female,In-State,3.69,Enrolled
100099,2016,Engineering,Mechanical,Senior,Female,International,3.7,Enrolled
100100,2016,Engineering,Mechanical,Freshman,Male,In-State,3.8,Enrolled
100101,2016,Engineering,Computer Science,Graduate,Female,In-State,3.06,Withdrawn
100102,2016,Engineering,Computer Science,Junior,Male,In-State,3.05,Enrolled
100103,2016,Engineering,Computer Science,Senior,Male,Out-of-State,3.14,Enrolled
100104,2016,Engineering,Computer Science,Freshman,Female,International,3.71,Enrolled
100105,2016,Engineering,Computer Science,Junior,Female,In-State,3.15,Enrolled
100106,2016,Engineering,Computer Science,Freshman,Male,In-State,3.22,Enrolled
100107,2016,Engineering,Mechanical,Freshman,Female,In-State,3.02,Enrolled
100108,2016,Engineering,Mechanical,Sophomore,Female,In-State,3.1,Enrolled
100109,2016,Engineering,Civil,Freshman,Male,In-State,3.3,Enrolled
100110,2016,Engineering,Mechanical,Sophomore,Female,Out-of-State,4.0,Enrolled
100111,2016,Engineering,Civil,Sophomore,Male,Out-of-State,3.09,Graduated
100112,2016,Engineering,Mechanical,Junior,Male,In-State,3.18,Enrolled
100113,2016,Engineering,Electrical,Junior,Male,In-State,3.35,Graduated
100114,2016,Engineering,Mechanical,Freshman,Male,Out-of-State,2.5,Enrolled
100115,2016,Engineering,Computer Science,Freshman,Male,In-State,3.05,Enrolled
100116,2016,Engineering,Mechanical,Senior,Male,Out-of-State,3.91,Enrolled
100117,2016,Engineering,Electrical,Sophomore,Female,In-State,2.78,Enrolled
100118,2016,Engineering,Electrical,Junior,Female,In-State,2.86,Enrolled
100119,2016,Engineering,Electrical,Senior,Female,Out-of-State,3.29,Enrolled
100120,2016,Engineering,Computer Science,Sophomore,Female,In-State,2.86,Enrolled
100121,2016,Engineering,Computer Science,Sophomore,Female,In-State,3.12,Enrolled
100122,2016,Engineering,Civil,Senior,Male,In-State,3.54,Enrolled
100123,2016,Engineering,Computer Science,Graduate,Male,International,3.0,Graduated
100124,2016,Engineering,Mechanical,Freshman,Female,In-State,3.06,Graduated
100125,2016,Engineering,Mechanical,Junior,Male,Out-of-State,3.42,Enrolled
100126,2016,Engineering,Computer Science,Senior,Other,Out-of-State,4.0,Enrolled
100127,2016,Engineering,Civil,Sophomore,Female,Out-of-State,3.02,Enrolled
100128,2016,Engineering,Civil,Sophomore,Female,In-State,3.03,Enrolled
100129,2016,Engineering,Electrical,Sophomore,Male,Out-of-State,2.81,Withdrawn
100130,2016,Engineering,Computer Science,Sophomore,Male,In-State,2.81,Enrolled
100131,2016,Engineering,Civil,Freshman,Female,International,2.77,Graduated
100132,2016,Engineering,Civil,Freshman,Male,Out-of-State,3.21,Enrolled
100133,2016,Engineering,Mechanical,Freshman,Female,In-State,3.13,Graduated
100134,2016,Engineering,Computer Science,Junior,Male,In-State,2.14,Enrolled
100135,2016,Engineering,Computer Science,Sophomore,Female,In-State,3.09,Enrolled
100136,2016,Engineering,Electrical,Junior,Male,International,2.94,Enrolled
100137,2016,Engineering,Civil,Graduate,Female,Out-of-State,3.34,Enrolled
100138,2016,Engineering,Mechanical,Freshman,Female,In-State,3.12,Enrolled
100139,2016,Engineering,Mechanical,Senior,Male,In-State,3.37,Graduated
100140,2016,Engineering,Mechanical,Graduate,Female,In-State,3.03,Enrolled
100141,2016,Engineering,Computer Science,Freshman,Female,Out-of-State,2.34,Enrolled
100142,2016,Engineering,Mechanical,Senior,Male,In-State,3.48,Enrolled
100143,2016,Engineering,Civil,Sophomore,Male,Out-of-State,3.31,Graduated
100144,2016,Engineering,Computer Science,Senior,Female,Out-of-State,3.13,Graduated
100145,2016,Engineering,Civil,Senior,Male,In-State,3.05,Enrolled
100146,2016,Engineering,Mechanical,Junior,Male,In-State,3.43,Enrolled
100147,2016,Engineering,Electrical,Freshman,Male,Out-of-State,2.83,Withdrawn
100148,2016,Engineering,Mechanical,Graduate,Male,International,3.03,Enrolled
100149,2016,Engineering,Civil,Junior,Female,International,4.0,Enrolled
100150,2016,Engineering,Electrical,Sophomore,Male,In-State,2.83,Enrolled
100151,2016,Engineering,Civil,Sophomore,Male,In-State,2.42,Graduated
100152,2016,Engineering,Civil,Freshman,Female,Out-of-State,3.58,Enrolled
100153,2016,Engineering,Civil,Freshman,Female,Out-of-State,2.9,Enrolled
100154,2016,Engineering,Mechanical,Freshman,Male,In-State,3.25,Enrolled
100155,2016,Engineering,Civil,Senior,Female,In-State,2.52,Enrolled
100156,2016,Engineering,Civil,Freshman,Male,Out-of-State,2.93,Enrolled
100157,2016,Engineering,Computer Science,Junior,Female,In-State,3.2,Enrolled
100158,2016,Engineering,Computer Science,Senior,Female,In-State,3.26,Enrolled
100159,2016,Engineering,Civil,Senior,Male,In-State,3.09,On Leave
100160,2016,Engineering,Computer Science,Freshman,Female,International,3.41,Enrolled
100161,2016,Engineering,Computer Science,Senior,Male,Out-of-State,3.65,Enrolled
100162,2016,Engineering,Mechanical,Junior,Male,In-State,3.16,Graduated
100163,2016,Engineering,Electrical,Freshman,Male,In-State,3.55,Enrolled
100164,2016,Engineering,Civil,Sophomore,Male,Out-of-State,2.97,Enrolled
100165,2016,Engineering,Civil,Sophomore,Female,Out-of-State,2.88,Enrolled
100166,2016,Engineering,Civil,Sophomore,Male,Out-of-State,2.86,Enrolled
100167,2016,Engineering,Electrical,Freshman,Male,Out-of-State,4.0,Enrolled
100168,2016,Engineering,Civil,Sophomore,Female,In-State,2.86,Enrolled
100169,2016,Engineering,Mechanical,Freshman,Male,In-State,2.73,Enrolled
100170,2016,Engineering,Electrical,Junior,Male,In-State,3.17,Enrolled
100171,2016,Engineering,Mechanical,Senior,Female,In-State,3.23,Enrolled
100172,2016,Engineering,Mechanical,Sophomore,Male,In-State,2.04,Withdrawn
100173,2016,Engineering,Mechanical,Freshman,Female,In-State,3.28,Enrolled
100174,2016,Engineering,Electrical,Junior,Female,International,3.0,Enrolled
100175,2016,Engineering,Computer Science,Sophomore,Male,In-State,2.94,Enrolled
100176,2016,Engineering,Computer Science,Junior,Male,Out-of-State,3.18,Enrolled
100177,2016,Engineering,Civil,Sophomore,Female,In-State,2.26,Enrolled
100178,2016,Engineering,Computer Science,Junior,Male,Out-of-State,2.93,On Leave
100179,2016,Engineering,Civil,Junior,Male,In-State,3.49,Enrolled
100180,2016,Engineering,Mechanical,Senior,Male,In-State,3.53,On Leave
100181,2016,Engineering,Civil,Junior,Female,Out-of-State,2.64,Enrolled
100182,2016,Engineering,Civil,Sophomore,Female,In-State,3.02,Enrolled
100183,2016,Engineering,Mechanical,Freshman,Male,In-State,2.47,Enrolled
100184,2016,Engineering,Computer Science,Junior,Female,In-State,2.97,Enrolled
100185,2016,Engineering,Computer Science,Freshman,Male,In-State,3.35,Enrolled
100186,2016,Engineering,Electrical,Freshman,Male,International,2.51,Enrolled
100187,2016,Engineering,Mechanical,Senior,Male,In-State,3.21,Enrolled
100188,2016,Engineering,Computer Science,Junior,Male,In-State,3.53,Enrolled
100189,2016,Engineering,Electrical,Sophomore,Female,In-State,3.47,Enrolled
100190,2016,Engineering,Mechanical,Sophomore,Male,Out-of-State,3.78,Enrolled
100191,2016,Engineering,Computer Science,Junior,Female,In-State,3.23,Graduated
100192,2016,Engineering,Computer Science,Freshman,Female,In-State,2.63,Enrolled
100193,2016,Engineering,Computer Science,Graduate,Female,International,2.94,Graduated
100194,2016,Engineering,Electrical,Freshman,Male,International,3.08,Withdrawn
100195,2016,Engineering,Civil,Junior,Female,Out-of-State,3.34,On Leave
100196,2016,Engineering,Mechanical,Junior,Female,Out-of-State,3.68,Enrolled
100197,2016,Engineering,Mechanical,Senior,Female,In-State,2.65,Enrolled
100198,2017,Engineering,Computer Science,Sophomore,Female,In-State,2.52,Withdrawn
100199,2017,Engineering,Electrical,Senior,Female,Out-of-State,2.88,Withdrawn
100200,2017,Engineering,Civil,Junior,Male,In-State,3.05,Graduated
100201,2017,Engineering,Computer Science,Freshman,Female,Out-of-State,2.51,On Leave
100202,2017,Engineering,Mechanical,Senior,Female,In-State,2.65,Enrolled
100203,2017,Engineering,Mechanical,Senior,Female,International,2.77,Enrolled
100204,2017,Engineering,Mechanical,Sophomore,Female,In-State,2.93,Enrolled
100205,2017,Engineering,Civil,Sophomore,Female,In-State,2.73,Enrolled
100206,2017,Engineering,Mechanical,Freshman,Male,In-State,3.42,Enrolled
100207,2017,Engineering,Mechanical,Freshman,Female,In-State,3.41,Enrolled
100208,2017,Engineering,Computer Science,Junior,Male,In-State,3.14,Graduated
100209,2017,Engineering,Mechanical,Sophomore,Female,Out-of-State,3.15,Enrolled
100210,2017,Engineering,Civil,Senior,Female,Out-of-State,3.31,Enrolled
100211,2017,Engineering,Electrical,Graduate,Female,In-State,3.02,Withdrawn
100212,2017,Engineering,Civil,Graduate,Female,In-State,3.26,Enrolled
100213,2017,Engineering,Mechanical,Sophomore,Male,In-State,3.59,Enrolled
100214,2017,Engineering,Civil,Junior,Female,In-State,3.06,Withdrawn
100215,2017,Engineering,Mechanical,Graduate,Female,In-State,3.27,Enrolled
100216,2017,Engineering,Computer Science,Senior,Female,In-State,2.46,Enrolled
100217,2017,Engineering,Mechanical,Sophomore,Female,In-State,3.65,Enrolled
100218,2017,Engineering,Mechanical,Junior,Female,In-State,3.39,Enrolled
100219,2017,Engineering,Computer Science,Sophomore,Female,Out-of-State,3.36,Enrolled
100220,2017,Engineering,Computer Science,Sophomore,Female,In-State,3.36,Enrolled
100221,2017,Engineering,Civil,Senior,Female,Out-of-State,3.58,Enrolled
100222,2017,Engineering,Computer Science,Junior,Other,In-State,2.84,Enrolled
100223,2017,Engineering,Electrical,Junior,Female,Out-of-State,3.18,Enrolled
100224,2017,Engineering,Electrical,Freshman,Female,In-State,3.05,Withdrawn
100225,2017,Engineering,Mechanical,Sophomore,Female,In-State,2.94,Enrolled
100226,2017,Engineering,Mechanical,Freshman,Female,In-State,3.08,Enrolled
100227,2017,Engineering,Mechanical,Graduate,Female,In-State,3.13,On Leave
100228,2017,Engineering,Computer Science,Senior,Male,In-State,2.78,Enrolled
100229,2017,Engineering,Civil,Sophomore,Male,In-State,3.1,Graduated
100230,2017,Engineering,Computer Science,Junior,Female,Out-of-State,3.75,Enrolled
100231,2017,Engineering,Computer Science,Senior,Female,In-State,2.83,Enrolled
100232,2017,Engineering,Electrical,Sophomore,Female,In-State,3.24,Enrolled
100233,2017,Engineering,Mechanical,Senior,Female,In-State,3.09,Enrolled
100234,2017,Engineering,Mechanical,Junior,Female,In-State,3.08,Enrolled
100235,2017,Engineering,Mechanical,Senior,Female,International,2.82,Enrolled
100236,2017,Engineering,Electrical,Freshman,Male,In-State,2.89,Withdrawn
100237,2017,Engineering,Civil,Sophomore,Male,In-State,3.2,Enrolled
100238,2017,Engineering,Mechanical,Junior,Male,In-State,3.24,Enrolled
100239,2017,Engineering,Computer Science,Junior,Female,International,3.12,Enrolled
100240,2017,Engineering,Mechanical,Junior,Male,In-State,3.16,Enrolled
100241,2017,Engineering,Mechanical,Graduate,Female,Out-of-State,2.83,Enrolled
100242,2017,Engineering,Civil,Freshman,Male,International,3.35,Withdrawn
100243,2017,Engineering,Computer Science,Sophomore,Female,In-State,2.78,Enrolled
100244,2017,Engineering,Mechanical,Freshman,Female,Out-of-State,3.21,Enrolled
100245,2017,Engineering,Electrical,Freshman,Male,Out-of-State,4.0,Enrolled
100246,2017,Engineering,Civil,Sophomore,Male,In-State,3.07,Enrolled
100247,2017,Engineering,Mechanical,Freshman,Female,In-State,2.64,Enrolled
100248,2017,Engineering,Mechanical,Sophomore,Male,Out-of-State,2.98,Enrolled
100249,2017,Engineering,Mechanical,Graduate,Male,International,3.1,Enrolled
100250,2017,Engineering,Electrical,Junior,Other,In-State,3.26,Enrolled
100251,2017,Engineering,Mechanical,Freshman,Male,In-State,3.86,Enrolled
100252,2017,Engineering,Electrical,Junior,Male,Out-of-State,2.77,Graduated
100253,2017,Engineering,Electrical,Junior,Female,Out-of-State,2.57,Enrolled
100254,2017,Engineering,Computer Science,Sophomore,Male,In-State,3.18,Enrolled
100255,2017,Engineering,Computer Science,Senior,Female,In-State,2.59,Graduated
100256,2017,Engineering,Electrical,Sophomore,Female,In-State,3.61,Enrolled
100257,2017,Engineering,Electrical,Freshman,Male,International,2.35,Enrolled
100258,2017,Engineering,Computer Science,Sophomore,Female,In-State,3.02,Enrolled
100259,2017,Engineering,Mechanical,Senior,Other,In-State,3.17,Enrolled
100260,2017,Engineering,Civil,Sophomore,Female,Out-of-State,3.12,Enrolled
100261,2017,Engineering,Mechanical,Freshman,Female,In-State,2.23,Withdrawn
100262,2017,Engineering,Mechanical,Freshman,Female,In-State,3.47,Enrolled
100263,2017,Engineering,Civil,Sophomore,Male,In-State,2.17,Enrolled
100264,2017,Engineering,Computer Science,Sophomore,Male,In-State,3.27,Enrolled
100265,2017,Engineering,Civil,Senior,Female,Out-of-State,3.26,Enrolled
100266,2017,Engineering,Electrical,Freshman,Female,In-State,3.48,Graduated
100267,2017,Engineering,Civil,Junior,Female,Out-of-State,2.66,Enrolled
100268,2017,Engineering,Civil,Freshman,Male,In-State,3.93,Enrolled
100269,2017,Engineering,Civil,Junior,Male,In-State,3.68,Graduated
100270,2017,Engineering,Mechanical,Sophomore,Female,In-State,3.24,Enrolled
100271,2017,Engineering,Electrical,Freshman,Male,Out-of-State,3.07,Enrolled
100272,2017,Engineering,Civil,Freshman,Female,In-State,3.14,Enrolled
100273,2017,Engineering,Civil,Graduate,Female,Out-of-State,2.84,Enrolled
100274,2017,Engineering,Mechanical,Sophomore,Female,In-State,3.44,Enrolled
100275,2017,Engineering,Civil,Freshman,Female,In-State,2.62,Enrolled
100276,2017,Engineering,Electrical,Senior,Male,In-State,3.35,Graduated
100277,2017,Engineering,Civil,Sophomore,Male,Out-of-State,3.13,Enrolled
100278,2017,Engineering,Computer Science,Sophomore,Female,In-State,2.61,Enrolled
100279,2017,Engineering,Electrical,Graduate,Female,In-State,2.89,Enrolled
100280,2017,Engineering,Computer Science,Senior,Female,Out-of-State,3.01,Enrolled
100281,2017,Engineering,Civil,Senior,Male,In-State,3.08,Enrolled
100282,2017,Engineering,Computer Science,Junior,Male,In-State,2.83,Enrolled
100283,2017,Engineering,Civil,Freshman,Female,In-State,3.04,On Leave
100284,2017,Engineering,Computer Science,Sophomore,Male,In-State,2.66,Enrolled
100285,2017,Engineering,Computer Science,Junior,Male,Out-of-State,2.86,Enrolled
100286,2017,Engineering,Civil,Sophomore,Male,Out-of-State,3.32,Enrolled
100287,2017,Engineering,Computer Science,Junior,Female,Out-of-State,2.82,Enrolled
100288,2017,Engineering,Civil,Sophomore,Female,Out-of-State,3.56,Enrolled
100289,2017,Engineering,Electrical,Sophomore,Female,In-State,2.22,Enrolled
100290,2017,Engineering,Civil,Junior,Female,In-State,3.57,Enrolled
100291,2017,Engineering,Civil,Sophomore,Male,Out-of-State,3.52,Graduated
100292,2017,Engineering,Computer Science,Graduate,Male,In-State,2.62,Enrolled
100293,2017,Engineering,Computer Science,Senior,Female,In-State,2.62,Enrolled
100294,2017,Engineering,Mechanical,Sophomore,Female,International,2.85,Withdrawn
100295,2017,Engineering,Civil,Junior,Female,In-State,2.69,Enrolled
100296,2017,Engineering,Electrical,Senior,Female,In-State,2.23,Enrolled
100297,2017,Engineering,Computer Science,Freshman,Male,In-State,2.74,Enrolled
100298,2017,Engineering,Mechanical,Senior,Male,Out-of-State,3.07,Withdrawn
100299,2017,Engineering,Computer Science,Junior,Male,In-State,3.08,Enrolled
100300,2017,Engineering,Computer Science,Sophomore,Female,In-State,3.88,Enrolled
100301,2017,Engineering,Civil,Sophomore,Female,In-State,3.11,Enrolled
100302,2017,Engineering,Mechanical,Sophomore,Female,In-State,3.06,Withdrawn
100303,2017,Engineering,Computer Science,Graduate,Female,Out-of-State,4.0,Enrolled
100304,2017,Engineering,Mechanical,Freshman,Male,Out-of-State,3.31,Enrolled
100305,2017,Engineering,Mechanical,Junior,Female,In-State,3.74,Enrolled
100306,2017,Engineering,Computer Science,Freshman,Male,Out-of-State,3.83,Enrolled
100307,2017,Engineering,Civil,Junior,Male,Out-of-State,3.71,Enrolled
100308,2017,Engineering,Mechanical,Freshman,Female,In-State,2.96,Graduated
100309,2017,Engineering,Computer Science,Sophomore,Female,Out-of-State,3.55,Enrolled
100310,2017,Engineering,Civil,Sophomore,Male,In-State,3.13,Enrolled
100311,2017,Engineering,Computer Science,Graduate,Female,Out-of-State,3.34,Withdrawn
100312,2017,Engineering,Mechanical,Freshman,Male,In-State,3.41,Enrolled
100313,2017,Engineering,Computer Science,Senior,Male,In-State,3.28,Enrolled
100314,2017,Engineering,Computer Science,Freshman,Male,Out-of-State,3.24,Enrolled
100315,2017,Engineering,Mechanical,Graduate,Female,International,3.22,Graduated
100316,2017,Engineering,Electrical,Sophomore,Female,In-State,2.64,Enrolled
100317,2017,Engineering,Electrical,Senior,Male,In-State,3.35,Enrolled
100318,2017,Engineering,Electrical,Senior,Female,Out-of-State,2.69,Enrolled
100319,2017,Engineering,Computer Science,Senior,Female,International,3.02,Enrolled
100320,2018,Engineering,Computer Science,Senior,Other,In-State,3.82,Graduated
100321,2018,Engineering,Electrical,Sophomore,Male,In-State,3.51,Enrolled
100322,2018,Engineering,Civil,Senior,Female,In-State,2.33,Enrolled
100323,2018,Engineering,Computer Science,Senior,Male,In-State,3.72,Enrolled
100324,2018,Engineering,Mechanical,Sophomore,Female,In-State,2.59,Enrolled
100325,2018,Engineering,Electrical,Sophomore,Male,Out-of-State,2.88,Enrolled
100326,2018,Engineering,Electrical,Freshman,Male,In-State,2.88,Graduated
100327,2018,Engineering,Civil,Junior,Female,In-State,3.8,Enrolled
100328,2018,Engineering,Computer Science,Graduate,Male,In-State,2.75,Enrolled
100329,2018,Engineering,Civil,Sophomore,Male,Out-of-State,3.73,Enrolled
100330,2018,Engineering,Electrical,Junior,Female,International,3.45,Enrolled
100331,2018,Engineering,Civil,Junior,Male,In-State,3.93,Enrolled
100332,2018,Engineering,Civil,Junior,Other,In-State,2.34,Graduated
100333,2018,Engineering,Computer Science,Senior,Female,In-State,2.76,Enrolled
100334,2018,Engineering,Civil,Freshman,Female,International,3.03,Enrolled
100335,2018,Engineering,Civil,Junior,Female,In-State,3.18,Enrolled
100336,2018,Engineering,Computer Science,Junior,Male,In-State,3.41,Enrolled
100337,2018,Engineering,Electrical,Senior,Female,Out-of-State,3.39,Enrolled
100338,2018,Engineering,Civil,Freshman,Female,Out-of-State,2.52,Enrolled
100339,2018,Engineering,Mechanical,Senior,Male,Out-of-State,2.61,Enrolled
100340,2018,Engineering,Electrical,Junior,Male,In-State,3.62,Enrolled
100341,2018,Engineering,Electrical,Graduate,Female,Out-of-State,2.69,Enrolled
100342,2018,Engineering,Mechanical,Senior,Male,In-State,3.37,On Leave
100343,2018,Engineering,Computer Science,Junior,Female,In-State,3.16,Enrolled
100344,2018,Engineering,Civil,Junior,Female,In-State,3.26,Enrolled
100345,2018,Engineering,Computer Science,Junior,Male,In-State,3.27,Enrolled
100346,2018,Engineering,Mechanical,Graduate,Male,In-State,4.0,Enrolled
100347,2018,Engineering,Electrical,Junior,Male,International,3.18,Enrolled
100348,2018,Engineering,Mechanical,Freshman,Female,In-State,3.82,Enrolled
100349,2018,Engineering,Electrical,Freshman,Female,Out-of-State,3.71,Enrolled
100350,2018,Engineering,Mechanical,Junior,Female,In-State,2.72,Enrolled
100351,2018,Engineering,Computer Science,Sophomore,Male,In-State,2.65,Withdrawn
100352,2018,Engineering,Civil,Sophomore,Female,Out-of-State,2.88,On Leave
100353,2018,Engineering,Electrical,Sophomore,Female,Out-of-State,2.37,Enrolled
100354,2018,Engineering,Civil,Sophomore,Female,In-State,3.45,Enrolled
100355,2018,Engineering,Electrical,Sophomore,Female,In-State,2.98,Enrolled
100356,2018,Engineering,Electrical,Senior,Female,In-State,3.42,Enrolled
100357,2018,Engineering,Computer Science,Sophomore,Male,International,2.93,Graduated
100358,2018,Engineering,Computer Science,Sophomore,Female,In-State,2.96,Enrolled
100359,2018,Engineering,Electrical,Sophomore,Female,In-State,3.45,Enrolled
100360,2018,Engineering,Computer Science,Junior,Female,In-State,2.75,Withdrawn
